Date,Time,Depth of Airgun(m),Depth of Reciever(m),X Airgun,Y Airgun,Z Airgun,X_R1,Y_R1,Z_R1,Peak_Index,T90_1,T90_2,T90_3,T90_4,T90_5,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SPL_MLM_1,SPL_MLM_2,SPL_MLM_3,SPL_MLM_4,SPL_MLM_5,SEL_MLM_1,SEL_MLM_2,SEL_MLM_3,SEL_MLM_4,SEL_MLM_5
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6290.9,142.9,9,1914,0.81,0.718,0.662,0.736,0.808,163.169,160.3807,160.1726,150.6339,163.3886,162.2539,158.942,158.3812,149.3026,162.4628,63.1259,60.2526,59.6376,56.5355,63.2132,129.5242,123.7227,121.42,113.7592,129.699
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6279.7,137.4,9,1916,0.832,0.734,0.662,0.74,0.828,162.4969,158.6861,158.4734,147.0267,162.623,161.6981,157.3431,156.682,145.719,161.8033,63.4537,60.9249,60.2868,56.1426,63.5489,130.1622,123.6143,121.2976,112.9932,130.3533
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6268.5,132,9,1917,0.83,0.724,0.656,0.75,0.828,162.3139,158.6984,158.4846,146.0632,162.4142,161.5047,157.2958,156.6536,144.8138,161.5945,63.4887,61.2675,60.4689,56.4295,63.6062,130.2283,123.8202,121.487,113.7259,130.4648
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6257.3,126.6,9,1919,0.916,0.742,0.66,0.746,0.882,161.6629,158.353,158.2452,146.4046,161.9279,161.2819,157.0571,156.4406,145.1319,161.3826,63.4546,61.4276,60.8148,56.0924,63.6218,130.1653,124.1054,122.1838,113.0433,130.5014
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6246.2,121.2,9,1920,1.028,0.746,0.66,0.754,1.006,159.7161,156.6207,156.3897,143.0998,159.8774,159.836,155.3481,154.5851,141.8735,159.9034,62.5867,60.4078,59.7701,55.8074,62.7093,128.4202,122.1057,120.1744,112.3923,128.6667
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6235,115.7,9,1922,0.94,0.684,0.632,0.744,0.91,162.094,159.7148,159.3976,147.2355,162.3437,161.8253,158.0654,157.4048,145.9512,161.9342,63.1638,60.893,60.0836,56.9985,63.2601,129.5725,123.899,121.7462,114.6882,129.7659
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6223.7,110.3,9,1923,3.168,3.5,3.45,3.576,3.41,147.736,147.0058,145.5825,144.1115,149.1387,152.7438,152.4464,150.9607,149.6454,154.4662,69.5129,71.0659,70.1781,70.1783,71.3706,142.2533,145.3513,143.575,143.5754,145.9617
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6212.5,104.8,9,1925,0.906,0.698,0.65,0.838,0.89,162.2306,159.6817,159.3378,147.1994,162.4308,161.8019,158.1203,157.4669,146.4319,161.9247,63.204,60.7599,59.8051,56.6046,63.3035,129.6613,123.3004,121.052,113.891,129.8584
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6201.3,99.4,9,1927,0.858,0.69,0.626,0.754,0.856,162.5006,159.4062,159.0978,146.3223,162.5995,161.8355,157.7947,157.0635,145.096,161.9242,63.8075,61.7457,60.7487,56.8625,63.9183,130.7978,124.4462,122.0012,114.4727,130.8869
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6190.1,94,9,1928,0.956,0.698,0.626,0.81,0.936,160.4588,157.1684,156.7543,141.9248,160.5984,160.2633,155.607,154.72,141.0096,160.3112,63.1939,60.9969,59.7284,57.6784,63.3134,129.6773,125.217,122.4978,115.6229,129.9126
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6178.9,88.5,9,1930,1.274,0.874,0.724,0.858,1.268,158.3603,154.9534,154.746,140.898,158.4277,159.412,154.3685,153.3434,140.2329,159.4589,62.4303,59.6014,58.5393,56.5087,62.5323,128.1971,122.4374,120.2984,115.6963,128.3993
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6167.7,83.1,9,1932,1.192,0.814,0.726,0.862,1.152,160.9156,158.4772,158.0245,145.5843,161.1475,161.6783,157.5834,156.6339,144.9393,161.762,63.1765,60.282,59.3577,57.134,63.2878,129.6924,123.8217,121.955,117.0577,129.9166
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6156.5,77.7,9,1934,0.794,0.672,0.634,0.74,0.794,163.0724,160.4489,159.9671,149.2567,163.2313,162.0706,158.7226,157.988,147.949,162.2295,63.1395,60.2316,59.3216,57.1204,63.2566,129.624,123.8137,121.95,117.0016,129.8649
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6145.3,72.2,9,1935,0.808,0.672,0.65,0.818,0.814,163.0487,159.8614,159.1807,147.1468,163.1254,162.1228,158.1351,157.3098,146.2743,162.2317,63.3546,60.4108,59.5974,57.4648,63.4789,130.0461,124.1694,122.5311,117.9963,130.3026
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6134.1,66.8,9,1937,0.814,0.666,0.62,0.816,0.814,162.7119,159.5571,159.0837,146.3391,162.8086,161.8181,157.7919,157.0076,145.456,161.9148,63.2338,59.9314,59.1675,57.1225,63.3463,129.7963,123.1991,121.6821,117.7167,130.0285
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6122.9,61.4,9,1938,0.834,0.682,0.65,0.812,0.834,162.471,159.1645,158.507,146.2759,162.5682,161.6827,157.5023,156.6361,145.3714,161.7799,63.174,59.9646,58.7387,56.5634,63.2647,129.669,123.2156,120.7696,116.522,129.8544
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6111.7,56,9,1940,0.792,0.682,0.654,0.842,0.796,162.3241,158.8041,158.0733,145.2818,162.3895,161.3114,157.142,156.229,144.535,161.3986,63.0913,60.3484,59.0962,57.099,63.2052,129.4851,123.9775,121.4621,116.8015,129.7163
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6100.5,50.6,9,1942,0.786,0.688,0.652,0.848,0.79,162.4045,158.6061,157.8457,144.7843,162.461,161.3588,156.982,155.9882,144.0682,161.4372,63.2844,60.673,59.4332,57.0586,63.3926,129.8894,124.6637,122.1706,116.5525,130.1095
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6089.3,45.1,9,1943,0.786,0.674,0.638,0.828,0.788,162.2493,158.8288,158.162,145.9333,162.3406,161.2035,157.1154,156.2102,145.1136,161.3059,63.4349,60.6387,59.4298,56.6706,63.5247,130.1686,124.6052,122.2467,116.0634,130.3513
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6078.1,39.7,9,1945,0.842,0.688,0.616,0.816,0.842,161.7599,158.1745,157.6382,144.1215,161.8301,161.013,156.5504,155.534,143.2384,161.0832,63.3959,60.1609,59.0911,56.0806,63.4645,130.046,123.6422,121.5479,115.5116,130.1849
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6066.9,34.3,9,1947,0.818,0.682,0.644,0.84,0.826,162.3619,159.1072,158.475,146.6236,162.4333,161.4895,157.445,156.5638,145.8664,161.6031,62.8087,60.023,59.2819,56.3054,62.9076,128.9417,123.3676,121.9149,115.2119,129.1413
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6055.7,28.9,9,1948,0.784,0.672,0.612,0.716,0.784,162.509,158.9831,158.4883,146.9011,162.6153,161.4521,157.2568,156.3558,145.4503,161.5584,62.7573,60.1323,59.3043,56.2459,62.8576,128.8649,123.5611,121.9322,113.8981,129.065
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6044.5,23.4,9,1950,0.796,0.698,0.614,0.704,0.788,161.8752,157.4345,156.8679,142.8031,161.9619,160.8843,155.8731,154.7496,141.2788,160.9272,63.0272,60.6105,59.4335,56.4452,63.1205,129.4336,124.5196,122.1641,114.049,129.616
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6033.2,18,9,1952,0.84,0.728,0.636,0.73,0.838,161.5484,157.0608,156.3531,141.5164,161.5916,160.7912,155.6821,154.3877,140.1496,160.8241,63.4639,61.2951,60.0129,56.7074,63.5466,130.3366,125.4425,123.2336,114.2873,130.496
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6022,12.6,9,1953,0.83,0.68,0.6,0.776,0.83,162.0997,158.3525,157.7906,142.1824,162.1388,161.2905,156.6776,155.5721,141.0811,161.3295,63.6755,61.4133,60.3253,56.8396,63.7876,130.7759,126.1634,123.9375,114.7976,130.995
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6010.8,7.2,9,1955,0.87,0.66,0.59,0.716,0.868,162.011,158.6097,158.0535,143.2112,162.0652,161.4062,156.8051,155.762,141.7604,161.4504,63.5957,60.977,59.9405,56.8948,63.6858,130.6006,125.3665,123.2932,115.8775,130.7769
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-5999.5,2,9,1957,1.006,0.666,0.606,0.84,1,160.0843,157.0051,156.3038,139.9058,160.143,160.1103,155.2399,154.1285,139.1486,160.143,63.0961,60.4523,59.4133,56.2033,63.1773,129.546,124.2751,122.1863,114.1906,129.7071
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-5988.2,-3.2,9,1959,1.27,0.726,0.658,0.736,1.27,158.8635,155.7674,154.9447,139.6105,158.8907,159.9016,154.3767,153.127,138.2793,159.9288,63.0581,60.3501,59.3841,55.2447,63.1133,129.4416,124.0871,122.1384,113.8204,129.5525
